Feature,Count,%Miss.,Card.,1stMode,1stModeFreq.,1stMode%,2ndMode,2ndModeFreq.,2ndMode%
IsWinner,10000,0.0,2,0,9451,94.51,1,549,5.489999999999999
TimeOfOfferChange,10000,0.0,548,2016-02-04T04:32:49.647Z,40,0.4,2016-02-04T04:38:26.096Z,20,0.2
ConditionNotes,5305,46.95,435,BRAND NEW!! HST ALREADY INCLUDED IN PRICE! NO DUTY OR BROKERAGE FEES! Reliable service you,758,14.2884071631,"Brand new items, Experienced seller, Shipping from Canada, French and English Service.",515,9.707822808671066
IsFeaturedMerchant,10000,0.0,2,1,8166,81.66,0,1834,18.34
IsFulfilledByAmazon,10000,0.0,2,0,9632,96.32,1,368,3.6799999999999997
ListingCurrency,10000,0.0,1,CAD,10000,100.0,,,
ShippingCurrency,10000,0.0,1,CAD,10000,100.0,,,
ShippingTime_availtype,10000,0.0,1,NOW,10000,100.0,,,
ShipsFromCountry,6273,37.27,13,CA,3668,58.4728200223,US,2213,35.278176311174875
ShipsFromState,5880,41.2,24,ON,2220,37.7551020408,NY,1176,20.0
SubCondition,10000,0.0,1,new,10000,100.0,,,
