Feature,Count,%Miss.,Card.,Min.,1stQRT,Mean,Median,3rdQRT,Max.,StDev.
MarketplaceId,10000.0,0.0,1,1.15646e+18,1.15646e+18,1.1564600000000553e+18,1.15646e+18,1.15646e+18,1.15646e+18,55298.76500737728
ProductId,10000.0,0.0,307,-9.1726e+18,-4.35648e+18,5.534224590000009e+16,2.47757e+16,5.0561e+18,9.20715e+18,5.308389425152429e+18
ListingPrice,10000.0,0.0,4976,3.24,63.33,215.8816989999993,126.02,257.8925,3194.32,255.58170191521756
SellerFeedbackRating,10000.0,0.0,25,0.0,91.0,89.0397,95.0,96.0,100.0,21.47030091293859
SellerFeedbackCount,10000.0,0.0,123,0.0,338.0,6915.7947,3293.0,8452.0,41420.0,10970.179275667582
SellerId,10000.0,0.0,187,-9.13612e+18,-2.57228e+18,9.780680312000013e+17,1.16312e+18,5.47794e+18,9.17405e+18,4.952648039850679e+18
ShippingPrice,10000.0,0.0,1104,0.0,0.0,12.39677599999997,7.5,13.64,705.27,26.361234349201176
ShippingTime_minHours,10000.0,0.0,12,0.0,24.0,57.1368,24.0,96.0,672.0,82.45090843034833
ShippingTime_maxHours,10000.0,0.0,11,0.0,48.0,88.6632,48.0,120.0,1008.0,119.8274126677335
ShipsDomestically,10000.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
